Name
Bavel
Maydan
Saffy's
Marouch Restaurant
Kismet
Dune
Carousel Restaurant Hollywood
Laya Restaurant
Mazal
Skaf's Grill
Mizala
Berenjak
Sunnin Lebanese Cafe
Ladyhawk
Hollywood Shawarma
Massis Kabob
Shamshiri Grill
Darya Restaurant
Orla
Calabra
Pita 'Bu
Attagirl
Lucia Mediterranean Grill
Borjstar
Open Sesame
Ammatoli
Sako's Mediterranean Cuisine
Raffi's Place
Carousel Restaurant Glendale
Best Shawarma
Khinkali House
Elena's Greek Armenian Cuisine
Hummus Bar & Grill
Mazen's Mediterranean Restaurant
Carnival Restaurant
Sincerely Syria
Olive and Grill
Hayat's Kitchen
Kobee Factory
Kebab Halebi
Lusy's Mediterranean Cafe & Grill
FurnSaj Bakery & Restaurant
Zaatar N More
Sadaf Restaurant
Koko's Middle Eastern Restaurant
Tel Aviv Grill
Zaatar Factory and Bakery
Mandi House
Zankou Chicken
Sunnin Lebanese Cafe Westwood
